ranking,movie_name,score,score_num
193,卡萨布兰卡,8.6,116942
194,被解救的姜戈,8.5,243620
195,燕尾蝶,8.6,103404
196,末路狂花,8.7,97164
197,这个男人来自地球,8.5,164375
198,终结者2：审判日,8.5,132000
199,变脸,8.4,201678
200,英国病人,8.4,165635
201,忠犬八公物语,9.0,51530
202,青蛇,8.4,203017
203,E.T. 外星人,8.5,142662
204,哪吒闹海,8.8,73344
205,叫我第一名,8.6,102384
206,源代码,8.3,383392
207,发条橙,8.4,174907
208,黄金三镖客,9.1,47322
209,新龙门客栈,8.4,169431
210,黑客帝国3：矩阵革命,8.5,143738
211,美国丽人,8.4,172539
212,穆赫兰道,8.3,218752
213,非常嫌疑犯,8.6,108018
214,城市之光,9.2,39381
215,无耻混蛋,8.4,208914
216,上帝也疯狂,8.6,90272
217,初恋这件小事,8.2,426536
218,勇士,8.9,81933
219,爱·回家,9.0,44322
220,蓝色大门,8.3,259769
221,曾经,8.3,192961
222,模仿游戏,8.5,232858
223,无敌破坏王,8.6,173214
224,大卫·戈尔的一生,8.7,81435
225,麦兜故事,8.5,120046
226,血钻,8.5,119599
227,暖暖内含光,8.4,135320
228,蝴蝶,8.6,91081
229,国王的演讲,8.3,315328
230,遗愿清单,8.5,116245
231,巴黎淘气帮,8.6,100136
232,与狼共舞,8.9,53212
233,爱在午夜降临前,8.7,104963
234,枪火,8.6,90867
235,荒岛余生,8.4,122622
236,疯狂的石头,8.2,286142
237,偷拐抢骗,8.5,108932
238,千钧一发,8.7,76643
239,夜访吸血鬼,8.3,186390
240,月球,8.5,132919
241,我爱你,9.0,50891
242,寿司之神,8.8,75612
243,中央车站,8.7,72371
244,爱在暹罗,8.3,209593
245,廊桥遗梦,8.5,91021
246,罪恶之城,8.4,132928
247,彗星来的那一夜,8.4,151531
248,两小无猜,8.1,303505
249,黑鹰坠落,8.5,101928
250,假如爱有天意,8.2,217774
